neighbourhood,room_type,price_change_pct
Batignolles-Monceau,Entire home/apt,0.0
Batignolles-Monceau,Hotel room,9.695
Batignolles-Monceau,Private room,0.0
Batignolles-Monceau,Shared room,0.0
Bourse,Entire home/apt,-0.58
Bourse,Hotel room,0.0
Bourse,Private room,0.0
Bourse,Shared room,0.0
Buttes-Chaumont,Entire home/apt,0.0
Buttes-Chaumont,Hotel room,-0.38
Buttes-Chaumont,Private room,0.0
Buttes-Chaumont,Shared room,0.0
Buttes-Montmartre,Entire home/apt,0.0
Buttes-Montmartre,Hotel room,3.42
Buttes-Montmartre,Private room,0.0
Buttes-Montmartre,Shared room,0.0
Entrepôt,Entire home/apt,0.0
Entrepôt,Hotel room,10.17
Entrepôt,Private room,0.0
Entrepôt,Shared room,10.559999999999999
Gobelins,Entire home/apt,0.0
Gobelins,Hotel room,12.9
Gobelins,Private room,0.0
Gobelins,Shared room,0.0
Hôtel-de-Ville,Entire home/apt,0.0
Hôtel-de-Ville,Hotel room,0.0
Hôtel-de-Ville,Private room,0.0
Hôtel-de-Ville,Shared room,2.275
Louvre,Entire home/apt,0.0
Louvre,Hotel room,0.0
Louvre,Private room,0.0
Louvre,Shared room,0.0
Luxembourg,Entire home/apt,0.0
Luxembourg,Hotel room,3.855
Luxembourg,Private room,0.0
Luxembourg,Shared room,-11.225
Ménilmontant,Entire home/apt,0.0
Ménilmontant,Hotel room,-5.86
Ménilmontant,Private room,0.0
Ménilmontant,Shared room,0.0
Observatoire,Entire home/apt,0.0
Observatoire,Hotel room,4.67
Observatoire,Private room,0.0
Observatoire,Shared room,-8.89
Opéra,Entire home/apt,0.0
Opéra,Hotel room,1.78
Opéra,Private room,3.28
Opéra,Shared room,7.69
Palais-Bourbon,Entire home/apt,0.0
Palais-Bourbon,Hotel room,0.0
Palais-Bourbon,Private room,0.0
Palais-Bourbon,Shared room,0.0
Panthéon,Entire home/apt,0.0
Panthéon,Hotel room,9.46
Panthéon,Private room,0.0
Panthéon,Shared room,14.82
Passy,Entire home/apt,0.0
Passy,Hotel room,1.74
Passy,Private room,0.0
Passy,Shared room,0.0
Popincourt,Entire home/apt,0.0
Popincourt,Hotel room,7.535
Popincourt,Private room,0.0
Popincourt,Shared room,7.32
Reuilly,Entire home/apt,0.0
Reuilly,Hotel room,4.074999999999999
Reuilly,Private room,0.0
Reuilly,Shared room,0.0
Temple,Entire home/apt,0.0
Temple,Hotel room,22.32
Temple,Private room,0.0
Temple,Shared room,-3.815
Vaugirard,Entire home/apt,0.0
Vaugirard,Hotel room,0.0
Vaugirard,Private room,0.0
Vaugirard,Shared room,-1.3
Élysée,Entire home/apt,0.0
Élysée,Hotel room,0.0
Élysée,Private room,0.0
