neighbourhood,room_type,price_ratio,price_ratio,price_ratio,price_ratio
,,<lambda_0>,median,mean,<lambda_1>
Batignolles-Monceau,Entire home/apt,0.94,1.0,1.0146618791143027,1.02
Batignolles-Monceau,Hotel room,0.97,1.1,1.14225,1.2175
Batignolles-Monceau,Private room,0.95,1.0,1.00231884057971,1.05
Batignolles-Monceau,Shared room,1.0,1.0,1.0,1.0
Bourse,Entire home/apt,0.8325,0.99,0.9630487804878048,1.02
Bourse,Hotel room,1.0,1.0,1.0,1.0
Bourse,Private room,0.96,1.0,1.0404032258064515,1.1125
Bourse,Shared room,0.98,1.0,1.012,1.07
Buttes-Chaumont,Entire home/apt,0.95,1.0,1.0173167801361633,1.01
Buttes-Chaumont,Hotel room,0.9924999999999999,0.995,0.995,0.9975
Buttes-Chaumont,Private room,0.98,1.0,1.0597003745318352,1.05
Buttes-Chaumont,Shared room,0.97,1.0,1.097037037037037,1.245
Buttes-Montmartre,Entire home/apt,0.93,1.0,1.0045687091017252,1.01
Buttes-Montmartre,Hotel room,0.6799999999999999,1.03,1.0002564102564102,1.11
Buttes-Montmartre,Private room,0.97,1.0,1.015948717948718,1.03
Buttes-Montmartre,Shared room,1.0,1.0,1.0075,1.0
Entrepôt,Entire home/apt,0.91,1.0,1.0302904564315354,1.01
Entrepôt,Hotel room,1.07,1.1,1.16,1.245
Entrepôt,Private room,0.94,1.0,1.1004907975460123,1.05
Entrepôt,Shared room,1.0,1.105,1.072,1.1324999999999998
Gobelins,Entire home/apt,0.93,1.0,1.0181758530183727,1.0
Gobelins,Hotel room,1.125,1.13,1.167142857142857,1.2149999999999999
Gobelins,Private room,0.92,1.0,1.0145777777777778,1.05
Gobelins,Shared room,1.0,1.0,0.9244444444444445,1.0
Hôtel-de-Ville,Entire home/apt,0.89,1.0,0.987091463414634,1.02
Hôtel-de-Ville,Hotel room,0.95,1.0,1.00625,1.07
Hôtel-de-Ville,Private room,0.95,1.0,0.9877227722772278,1.05
Hôtel-de-Ville,Shared room,1.0,1.025,1.045,1.0675000000000001
Louvre,Entire home/apt,0.84,1.0,1.0048582995951416,1.04
Louvre,Hotel room,0.9775,1.0,0.9987499999999999,1.08
Louvre,Private room,0.92,1.0,0.98375,1.05
Louvre,Shared room,1.0,1.0,1.0,1.0
Luxembourg,Entire home/apt,0.9,1.0,1.0061049180327868,1.03
Luxembourg,Hotel room,0.9724999999999999,1.04,1.0814,1.2
Luxembourg,Private room,0.93,1.0,1.0131746031746032,1.0675000000000001
Luxembourg,Shared room,0.835,0.89,0.89,0.9450000000000001
Ménilmontant,Entire home/apt,0.96,1.0,1.0173286248442044,1.0
Ménilmontant,Hotel room,0.94,0.94,0.9833333333333334,1.005
Ménilmontant,Private room,0.95,1.0,1.0331330472103004,1.0
Ménilmontant,Shared room,1.0,1.0,1.55125,1.0925
Observatoire,Entire home/apt,0.92,1.0,1.009875296912114,1.0
Observatoire,Hotel room,0.9575,1.05,1.05,1.085
Observatoire,Private room,0.9924999999999999,1.0,1.0250375939849625,1.07
Observatoire,Shared room,0.91,0.91,0.9555555555555555,1.0
Opéra,Entire home/apt,0.9,1.0,1.0130813186813188,1.02
Opéra,Hotel room,0.985,1.02,1.0353488372093025,1.0950000000000002
Opéra,Private room,0.99,1.0350000000000001,1.3153273809523809,1.17
Opéra,Shared room,1.0750000000000002,1.08,1.08,1.085
Palais-Bourbon,Entire home/apt,0.89,1.0,1.0165172189733593,1.045
Palais-Bourbon,Hotel room,0.89,1.0,0.9926086956521738,1.06
Palais-Bourbon,Private room,0.9025000000000001,1.0,1.018529411764706,1.085
Palais-Bourbon,Shared room,1.0,1.0,1.0,1.0
Panthéon,Entire home/apt,0.88,1.0,0.9992671854734112,1.01
Panthéon,Hotel room,1.03,1.09,1.0715384615384616,1.25
Panthéon,Private room,0.88,1.0,1.0067441860465116,1.04
Panthéon,Shared room,1.0375,1.15,1.1016666666666666,1.15
Passy,Entire home/apt,0.91,1.0,1.0158142076502732,1.03
Passy,Hotel room,0.97,1.02,1.0043333333333333,1.065
Passy,Private room,0.925,1.0,0.9778884462151394,1.03
Passy,Shared room,1.0,1.0,1.0,1.0
Popincourt,Entire home/apt,0.92,1.0,1.0015217914760413,1.01
Popincourt,Hotel room,1.0325,1.0750000000000002,1.081,1.165
Popincourt,Private room,0.97,1.0,1.3394936708860758,1.05
Popincourt,Shared room,0.9525,1.09,1.6565,1.1175000000000002
Reuilly,Entire home/apt,0.92,1.0,1.0121386666666667,1.0
Reuilly,Hotel room,0.9675,1.04,1.064,1.165
Reuilly,Private room,0.96,1.0,1.2993886462882096,1.08
Reuilly,Shared room,1.0,1.0,4.055,7.595
Temple,Entire home/apt,0.87,1.0,0.9721039072563332,1.01
Temple,Hotel room,1.1875,1.225,1.225,1.2625
Temple,Private room,0.95,1.0,1.0050515463917524,1.0
Temple,Shared room,0.865,0.96,0.9436363636363637,1.0
Vaugirard,Entire home/apt,0.91,1.0,1.012075863860743,1.02
Vaugirard,Hotel room,0.92,1.0,1.0134146341463415,1.13
Vaugirard,Private room,0.97,1.0,1.0674334140435835,1.1
Vaugirard,Shared room,0.8574999999999999,0.985,0.942,1.0
Élysée,Entire home/apt,0.8525,1.0,0.9850877192982456,1.02
Élysée,Hotel room,0.9,1.0,1.0067532467532467,1.12
Élysée,Private room,0.98,1.0,1.0365745856353592,1.1
Élysée,Shared room,,,,
